Name,Gender,Ethnicity,University,Specialty,Experience,GPA,Publications,InterviewScore,Hired
Steven Robinson,Female,Tiv,UNN,Tax,Mid-level,3.82,3,3.5,0
Jacqueline Beck,Male,Tiv,Babcock,Human Rights,Junior,4.12,1,4.5,0
Steve Williams,Female,Igbo,UNILAG,Family,Junior,3.62,1,1.5,0
Ricardo Acosta,Male,Igbo,UI,Intellectual Property,Junior,3.59,1,3.6,0
Elizabeth Martinez,Female,Tiv,UI,Criminal,Mid-level,3.4,3,8.8,1
Ryan Jones,Female,Hausa,Other,Intellectual Property,Junior,4.09,0,7.2,0
Leslie Santos,Female,Tiv,LASU,Family,Senior,3.78,0,6.0,0
William Gonzales,Female,Other,Babcock,Intellectual Property,Junior,3.82,0,6.9,0
Marc Bailey,Female,Other,Other,Tax,Senior,3.95,0,2.6,0
David Stevens,Male,Ijaw,ABU Zaria,Criminal,Junior,4.59,1,2.6,0
Lori Morton,Female,Igbo,LASU,Family,Mid-level,3.89,0,2.7,0
Elizabeth Cantu,Male,Fulani,UNIBEN,Corporate,Junior,3.94,2,8.1,1
Michael Hester,Male,Igbo,UNN,Tax,Junior,3.19,3,2.0,0
Peter Hickman,Female,Yoruba,UNN,Family,Mid-level,4.39,3,8.0,1
Crystal Jones,Male,Ijaw,LASU,Corporate,Mid-level,4.56,0,4.6,0
Jerry Young,Female,Yoruba,UNILAG,Family,Junior,4.05,2,3.3,0
Nicole Kim,Female,Yoruba,Covenant,Criminal,Senior,3.68,0,2.3,0
Rebecca Bell,Male,Ijaw,UNIBEN,Intellectual Property,Senior,4.53,0,5.6,0
Nicholas Henderson,Male,Yoruba,UNN,Criminal,Senior,4.49,0,2.9,0
Matthew Adams,Female,Hausa,Babcock,Human Rights,Senior,4.45,0,9.4,1
Luis Sawyer,Male,Igbo,UI,Intellectual Property,Junior,3.61,1,4.2,0
Melissa Duran,Female,Ijaw,ABU Zaria,Human Rights,Junior,3.94,2,3.2,0
Linda Ray,Female,Hausa,UNN,Tax,Mid-level,4.47,3,1.5,0
Vickie Gonzales,Male,Tiv,LASU,Family,Senior,3.94,1,3.2,0
Michele Garcia,Male,Other,Other,Family,Junior,3.99,1,5.4,0
Virginia Hansen,Female,Tiv,ABU Zaria,Criminal,Senior,4.41,0,5.1,0
David Anderson,Female,Other,ABU Zaria,Corporate,Senior,3.97,1,3.2,0
Brittney Gray,Male,Tiv,Other,Family,Senior,3.6,2,4.2,0
Jennifer Mendoza,Male,Ijaw,UNILAG,Family,Mid-level,3.97,1,4.9,0
Samantha Evans,Male,Fulani,LASU,Criminal,Junior,4.24,0,8.8,1
Samuel Bailey,Male,Igbo,UI,Criminal,Senior,3.94,0,2.4,0
Edward Singh,Female,Ijaw,Babcock,Intellectual Property,Senior,3.5,1,7.2,0
John Rodriguez,Male,Yoruba,UI,Corporate,Junior,4.91,1,5.5,0
Jennifer Fleming,Female,Igbo,LASU,Intellectual Property,Junior,4.58,1,1.7,0
Reginald Allen,Female,Igbo,UNN,Human Rights,Mid-level,4.88,0,7.9,1
Jonathan Martinez,Male,Ijaw,ABU Zaria,Human Rights,Senior,3.96,0,5.6,0
Ricky Campbell,Male,Igbo,Babcock,Family,Mid-level,4.67,0,7.7,1
Danny Wallace,Male,Tiv,UNN,Tax,Senior,4.61,2,1.6,0
Mary Donovan,Male,Yoruba,Covenant,Corporate,Mid-level,3.42,0,7.7,0
Kyle Lyons,Female,Ijaw,LASU,Tax,Senior,3.98,2,8.9,1
Michael Solomon,Male,Hausa,Other,Tax,Junior,4.02,2,7.8,1
April Williams,Male,Fulani,UNN,Tax,Junior,4.33,0,2.3,0
Vickie Stewart,Male,Ijaw,Other,Human Rights,Junior,4.38,2,4.2,0
Daniel Hanson,Male,Ijaw,UNN,Human Rights,Mid-level,3.73,0,4.0,0
Molly Williams,Male,Fulani,UNN,Human Rights,Mid-level,3.43,1,5.6,0
Laura Smith,Female,Fulani,Covenant,Tax,Mid-level,4.33,3,5.5,0
Sarah Thomas,Female,Ijaw,Covenant,Corporate,Mid-level,3.08,0,5.7,0
Bernard Lee,Male,Yoruba,Other,Human Rights,Mid-level,4.37,0,3.0,0
Katherine Walter,Female,Fulani,UNIBEN,Corporate,Junior,3.42,0,2.4,0
Tiffany Bush,Female,Hausa,LASU,Criminal,Junior,4.15,1,9.9,1
Ronald Cunningham,Female,Yoruba,UNN,Corporate,Senior,3.93,2,8.4,1
Megan Maddox,Male,Ijaw,ABU Zaria,Criminal,Senior,4.24,0,6.6,0
Regina Hurley,Male,Hausa,Covenant,Family,Senior,3.93,2,6.1,0
Robin James,Male,Igbo,Other,Corporate,Junior,4.11,1,5.0,0
Julie Todd,Female,Yoruba,Other,Corporate,Junior,4.86,0,5.5,0
John Mccoy,Female,Ijaw,ABU Zaria,Intellectual Property,Mid-level,3.16,1,4.3,0
David Travis,Male,Ijaw,ABU Zaria,Family,Senior,4.42,2,5.1,0
Catherine Rubio,Male,Igbo,Babcock,Intellectual Property,Junior,3.74,0,7.3,0
Mitchell Brown,Male,Hausa,UNN,Tax,Senior,4.19,2,3.9,0
Tanner Garrett,Female,Tiv,UNN,Tax,Mid-level,4.46,2,1.7,0
Shirley Rodriguez,Female,Ijaw,Covenant,Corporate,Junior,4.17,0,4.3,0
Marie Martinez,Male,Yoruba,Covenant,Intellectual Property,Mid-level,4.84,0,9.0,1
Kayla Leon,Male,Ijaw,ABU Zaria,Tax,Mid-level,3.94,1,1.6,0
Ashley Frederick,Female,Igbo,UNILAG,Criminal,Junior,4.02,0,1.2,0
Jessica Barnett,Female,Fulani,UNILAG,Human Rights,Senior,3.81,2,7.2,0
Jared Haley,Female,Igbo,ABU Zaria,Corporate,Mid-level,3.89,1,6.8,0
Jose White,Male,Igbo,Babcock,Corporate,Senior,3.47,3,5.7,0
Jessica Little,Female,Tiv,Other,Criminal,Junior,3.95,1,4.0,0
Michele Brown,Female,Ijaw,LASU,Family,Junior,3.56,0,1.3,0
Kimberly Weaver,Female,Hausa,ABU Zaria,Corporate,Senior,4.39,0,7.9,1
Briana Campbell,Female,Ijaw,UNN,Family,Senior,4.53,0,7.0,0
Derek Nixon,Female,Igbo,LASU,Human Rights,Junior,3.26,1,2.6,0
Jennifer Edwards,Male,Yoruba,UNN,Family,Mid-level,3.64,1,5.5,0
John Smith,Male,Igbo,Covenant,Family,Mid-level,4.58,0,8.7,1
William Lambert,Female,Other,Covenant,Corporate,Senior,2.71,1,1.2,0
David Whitehead,Male,Other,Other,Family,Senior,4.27,0,2.7,0
Raymond Turner,Female,Ijaw,UNN,Corporate,Senior,4.59,0,3.8,0
Susan Robertson,Female,Other,Other,Corporate,Mid-level,4.16,2,9.9,1
Keith Schmidt,Female,Ijaw,Babcock,Family,Senior,4.58,2,3.4,0
John Hale,Female,Tiv,UNN,Family,Junior,3.93,1,7.1,0
Stephanie Mclean,Female,Ijaw,Babcock,Human Rights,Mid-level,3.55,0,9.0,1
Robert Reid,Female,Hausa,LASU,Intellectual Property,Senior,2.83,1,4.4,0
Mitchell Sexton,Female,Igbo,Covenant,Human Rights,Junior,4.94,0,6.5,0
Morgan Sullivan,Male,Tiv,Covenant,Family,Senior,4.21,1,5.3,0
Erica Brown,Female,Fulani,UNN,Corporate,Junior,4.48,1,8.7,1
Jillian Gonzalez,Male,Ijaw,UNIBEN,Corporate,Mid-level,4.21,1,3.3,0
Sandra Park,Male,Tiv,UNN,Human Rights,Junior,4.18,4,2.6,0
Daisy Brown,Female,Other,UNILAG,Human Rights,Mid-level,4.61,1,7.6,1
William Brown,Male,Igbo,Other,Criminal,Junior,4.48,2,7.2,1
Christine Nichols,Male,Other,Covenant,Intellectual Property,Junior,3.75,2,6.5,0
Gary Gonzales,Male,Igbo,ABU Zaria,Corporate,Senior,3.89,0,3.3,0
Matthew Mcdowell,Male,Igbo,ABU Zaria,Tax,Junior,4.33,1,7.2,0
Todd Adams,Male,Ijaw,UNIBEN,Human Rights,Senior,3.74,1,4.6,0
Mark Gray,Male,Tiv,Covenant,Corporate,Mid-level,3.75,2,8.2,1
Katie Quinn,Female,Yoruba,Other,Intellectual Property,Senior,3.95,2,3.5,0
Dana Mcguire,Male,Fulani,Covenant,Family,Junior,3.59,3,7.9,1
Joseph Burnett,Male,Fulani,UI,Family,Junior,3.31,1,2.3,0
Ryan Martinez,Male,Yoruba,UNIBEN,Human Rights,Senior,3.28,2,9.5,1
Tammy Miller,Female,Ijaw,LASU,Criminal,Junior,4.45,2,7.2,0
Colleen Silva,Male,Fulani,Covenant,Family,Junior,4.66,0,1.5,0
Yvonne Jenkins,Male,Igbo,UNN,Tax,Senior,3.78,0,7.2,0
Dorothy Ball,Female,Tiv,ABU Zaria,Corporate,Junior,4.49,1,2.7,0
Nicole Carter,Male,Igbo,UNN,Human Rights,Mid-level,4.14,1,3.1,0
Jennifer Johnson,Male,Ijaw,Covenant,Human Rights,Senior,4.59,0,3.7,0
Tyler Mayer DDS,Female,Fulani,Babcock,Tax,Senior,3.94,0,3.8,0
Shelby Nicholson,Female,Tiv,ABU Zaria,Human Rights,Senior,4.47,0,4.1,0
Robert Mcintyre,Female,Hausa,Covenant,Human Rights,Mid-level,4.64,1,6.2,0
Raymond Wright,Male,Igbo,Other,Tax,Mid-level,3.61,2,1.4,0
Lisa Thompson,Female,Ijaw,Babcock,Criminal,Senior,3.96,0,5.8,0
Mario Thomas,Male,Yoruba,Other,Criminal,Mid-level,3.63,1,2.5,0
Mary Martin,Female,Fulani,UNILAG,Human Rights,Senior,4.26,1,5.4,0
John Hanson,Male,Yoruba,ABU Zaria,Intellectual Property,Senior,3.95,0,1.1,0
Bryan Garcia,Male,Hausa,Other,Corporate,Junior,4.31,0,5.0,0
Russell Mendoza,Male,Tiv,UI,Criminal,Junior,3.82,0,2.4,0
Mr. Brandon Chapman,Female,Other,UNIBEN,Criminal,Senior,3.99,0,7.2,0
Katie Gutierrez,Male,Ijaw,ABU Zaria,Criminal,Mid-level,3.74,2,1.9,0
Ian Cole,Female,Hausa,Babcock,Family,Junior,4.38,1,1.3,0
Victoria Smith,Male,Igbo,UNILAG,Corporate,Junior,3.65,0,8.7,1
Lucas Brennan,Female,Hausa,Babcock,Human Rights,Mid-level,4.42,1,2.7,0
Shawn Flores,Male,Hausa,ABU Zaria,Corporate,Junior,4.82,2,4.6,0
Parker Bowen,Female,Igbo,Other,Intellectual Property,Mid-level,4.08,0,9.4,1
Karen Moran,Male,Other,UNIBEN,Human Rights,Senior,3.92,0,9.0,1
Kara Martin,Female,Igbo,ABU Zaria,Intellectual Property,Senior,4.35,1,1.9,0
Ashley Martinez,Male,Hausa,UNIBEN,Corporate,Junior,3.4,1,7.0,0
Mary Zavala,Male,Yoruba,UNN,Family,Junior,4.19,1,2.3,0
Vincent Leblanc,Male,Yoruba,ABU Zaria,Intellectual Property,Junior,3.84,2,1.9,0
Carmen Smith,Male,Tiv,UNIBEN,Criminal,Senior,4.08,1,6.6,0
Janet Jennings,Female,Hausa,Covenant,Tax,Senior,3.34,1,2.7,0
Juan Peck,Female,Ijaw,UNIBEN,Human Rights,Senior,4.73,0,2.9,0
Samantha Flores DDS,Female,Yoruba,UNN,Intellectual Property,Senior,4.53,1,5.2,0
Monica Mann,Male,Igbo,LASU,Family,Senior,4.67,1,7.5,1
James Wilcox,Male,Fulani,Babcock,Family,Mid-level,3.43,1,9.6,1
Kelly Williams,Female,Tiv,UNIBEN,Intellectual Property,Junior,3.98,0,9.4,1
Deanna Perez,Male,Hausa,UI,Intellectual Property,Mid-level,3.66,0,9.6,1
Audrey Sloan,Female,Yoruba,UNN,Human Rights,Senior,4.06,2,3.3,0
Samantha Burns,Male,Tiv,ABU Zaria,Intellectual Property,Mid-level,4.35,1,9.3,1
Kenneth Craig,Male,Other,UI,Family,Mid-level,4.06,1,5.6,0
Brittany Green,Female,Hausa,UNIBEN,Corporate,Senior,3.49,1,3.7,0
William Downs PhD,Male,Fulani,UNIBEN,Intellectual Property,Mid-level,3.74,1,9.9,1
Jennifer Watkins,Male,Other,LASU,Tax,Junior,4.24,2,4.4,0
Mr. Darrell Weber,Female,Ijaw,Other,Family,Junior,3.29,2,4.6,0
Jessica Humphrey,Female,Ijaw,Babcock,Human Rights,Mid-level,3.61,0,9.6,1
Elizabeth Miller,Male,Tiv,Covenant,Human Rights,Junior,4.13,1,2.3,0
Morgan Bennett MD,Female,Other,LASU,Tax,Mid-level,3.96,0,1.7,0
Scott Luna,Male,Other,LASU,Human Rights,Mid-level,4.2,0,5.2,0
Jenna Robbins,Male,Other,UNN,Tax,Senior,4.63,1,8.6,1
Shannon Lopez,Male,Yoruba,Covenant,Tax,Senior,4.02,0,4.2,0
Derek Petty,Female,Fulani,UI,Human Rights,Senior,3.77,0,3.5,0
Margaret Watson,Male,Yoruba,LASU,Family,Mid-level,3.95,1,3.9,0
Renee Torres,Female,Igbo,LASU,Human Rights,Junior,4.37,0,4.9,0
Briana Vincent,Female,Fulani,UNN,Human Rights,Mid-level,3.48,2,4.4,0
Beth Strickland,Female,Yoruba,Covenant,Tax,Junior,4.08,0,4.6,0
Theresa Hale,Male,Igbo,ABU Zaria,Intellectual Property,Junior,3.83,4,6.8,0
John Gonzalez,Male,Other,ABU Zaria,Human Rights,Mid-level,4.38,1,9.2,1
Joshua Mendoza,Male,Other,UNIBEN,Human Rights,Senior,3.87,0,7.7,0
Eugene Brown,Female,Igbo,UI,Criminal,Mid-level,2.94,3,9.5,1
Larry Walters,Male,Other,Babcock,Family,Junior,4.12,1,7.7,1
Ashley Andersen,Female,Other,LASU,Intellectual Property,Mid-level,4.36,2,5.8,0
Brian Bryant,Female,Tiv,ABU Zaria,Intellectual Property,Junior,3.89,0,2.3,0
Kimberly Holden,Female,Fulani,UI,Intellectual Property,Mid-level,4.62,1,3.3,0
Thomas Perez,Male,Hausa,UNN,Corporate,Senior,4.12,2,4.9,0
Karen Knight,Male,Hausa,Other,Criminal,Junior,4.12,2,6.9,0
Jennifer Stephens,Female,Yoruba,ABU Zaria,Intellectual Property,Senior,4.73,1,9.1,1
Miss Emily Trevino PhD,Female,Tiv,UNIBEN,Corporate,Junior,4.43,2,4.2,0
Thomas Mccarty,Male,Hausa,LASU,Human Rights,Mid-level,4.57,1,2.2,0
Sean Thomas,Female,Ijaw,UNILAG,Intellectual Property,Mid-level,3.07,4,2.5,0
Anna Edwards,Male,Ijaw,UNILAG,Corporate,Junior,3.64,1,8.1,0
David Harris,Female,Fulani,UI,Family,Mid-level,3.39,2,9.1,1
Henry Nichols,Male,Yoruba,Babcock,Human Rights,Junior,4.26,1,7.7,1
Kaitlin Carr,Male,Other,UNN,Human Rights,Junior,4.78,0,9.8,1
Kathy Bennett,Male,Hausa,LASU,Intellectual Property,Junior,4.64,1,8.5,1
Lauren Hernandez,Male,Tiv,Covenant,Family,Junior,3.36,0,2.6,0
John Carter,Female,Ijaw,ABU Zaria,Corporate,Junior,4.51,1,9.3,1
Jonathan Hanna,Female,Yoruba,ABU Zaria,Intellectual Property,Mid-level,3.18,2,3.0,0
James Li Jr.,Female,Tiv,Babcock,Family,Mid-level,3.96,0,8.1,0
Vincent Jordan,Female,Yoruba,UNILAG,Tax,Junior,3.66,1,6.5,0
Gary Oliver,Female,Hausa,LASU,Intellectual Property,Junior,4.17,3,3.2,0
Ralph Reid,Female,Igbo,Other,Intellectual Property,Junior,3.2,3,3.8,0
Sylvia Clark,Female,Tiv,UNILAG,Intellectual Property,Mid-level,3.95,1,9.8,1
William Le,Female,Yoruba,Babcock,Corporate,Junior,3.46,0,1.9,0
David Campbell,Female,Ijaw,UNILAG,Tax,Mid-level,4.26,0,4.5,0
Lance Garcia,Male,Ijaw,UNN,Family,Junior,4.25,2,4.8,0
Roberto Mcpherson,Female,Yoruba,Covenant,Human Rights,Senior,3.58,1,8.3,1
Kimberly White,Female,Yoruba,UI,Intellectual Property,Mid-level,3.77,0,6.2,0
Randy Gardner,Female,Igbo,UNILAG,Tax,Junior,3.91,1,2.4,0
Glenn Archer,Male,Ijaw,UI,Tax,Mid-level,4.41,1,7.2,0
Lydia Mendoza,Female,Other,UNIBEN,Criminal,Junior,4.74,1,5.4,0
Marcus Fernandez,Male,Yoruba,UI,Human Rights,Junior,3.98,1,9.3,1
Samantha Stewart,Female,Ijaw,UI,Family,Junior,4.31,1,5.2,0
Samuel Lucas,Female,Other,Babcock,Human Rights,Senior,3.58,1,3.5,0
Stacy Warren,Male,Ijaw,Other,Intellectual Property,Mid-level,3.32,2,5.5,0
Brandy Bryant,Male,Fulani,Other,Criminal,Junior,3.9,0,2.5,0
Cynthia Cooper,Male,Other,UNN,Intellectual Property,Junior,3.68,2,1.6,0
Kathleen Harding,Male,Igbo,Other,Family,Mid-level,4.26,0,8.4,1
Peter Mcintyre,Male,Fulani,Covenant,Tax,Junior,3.0,1,1.8,0
Ashley Peterson,Male,Igbo,Babcock,Intellectual Property,Mid-level,4.37,0,7.6,0
Phillip Hicks PhD,Male,Ijaw,Covenant,Corporate,Junior,3.83,1,4.3,0
Kara Smith,Female,Tiv,Covenant,Intellectual Property,Junior,4.49,1,8.9,1
Anthony Sanders,Female,Other,LASU,Intellectual Property,Junior,3.97,1,6.3,0
Donna Garcia,Female,Yoruba,LASU,Tax,Mid-level,3.72,0,6.7,0
Martha Frey,Male,Fulani,UNIBEN,Corporate,Mid-level,4.17,2,6.1,0
Glenda Snyder,Male,Yoruba,Other,Family,Mid-level,3.55,2,4.3,0
David Frazier,Female,Hausa,UNN,Family,Senior,4.37,0,7.5,0
Elizabeth Bernard,Male,Other,UNIBEN,Human Rights,Mid-level,4.05,0,1.2,0
Samantha Davis,Male,Ijaw,ABU Zaria,Family,Senior,4.35,1,6.4,0
Alyssa Dunn,Male,Yoruba,UI,Family,Junior,4.01,2,7.0,0
Martha Davidson,Male,Tiv,UNN,Human Rights,Junior,3.84,1,5.6,0
Darrell Dixon,Female,Other,UNILAG,Family,Junior,3.7,0,6.4,0
Stephen Moreno,Female,Yoruba,Babcock,Tax,Mid-level,4.31,0,7.9,1
Thomas Baker,Female,Hausa,ABU Zaria,Criminal,Mid-level,3.71,0,5.1,0
Deborah Wright,Female,Other,Covenant,Criminal,Mid-level,2.86,2,6.0,0
Sarah Rodriguez,Female,Ijaw,Other,Human Rights,Mid-level,3.81,1,6.0,0
Eric Martin,Female,Fulani,LASU,Intellectual Property,Senior,3.37,0,9.3,1
Steve Wright,Male,Other,Other,Family,Junior,3.78,3,5.2,0
Christina Sherman,Female,Other,LASU,Corporate,Senior,3.83,1,8.6,1
Michelle Gutierrez,Female,Hausa,UNILAG,Tax,Senior,4.04,1,4.4,0
Donald Willis,Female,Igbo,Babcock,Intellectual Property,Senior,4.38,0,5.9,0
David Rivera DDS,Male,Igbo,LASU,Corporate,Junior,2.95,1,7.1,0
Christopher Mathews,Female,Igbo,UI,Corporate,Mid-level,3.62,0,6.4,0
Matthew Collins,Female,Other,UNN,Corporate,Junior,3.97,1,1.1,0
Dustin Cortez,Male,Ijaw,LASU,Family,Mid-level,4.4,2,8.8,1
Mitchell Gilbert,Female,Ijaw,UNIBEN,Family,Senior,3.69,3,3.6,0
Gary Bailey,Male,Yoruba,Other,Intellectual Property,Senior,4.17,1,6.2,0
Holly Maxwell,Male,Other,LASU,Family,Senior,4.58,1,10.0,1
Timothy Stewart,Female,Hausa,Covenant,Human Rights,Senior,3.98,2,3.6,0
Jacob Guerra,Male,Fulani,UNIBEN,Intellectual Property,Junior,4.21,0,4.5,0
Mr. Joshua Smith,Female,Tiv,Other,Tax,Mid-level,5.0,0,5.0,0
Vanessa Joyce,Male,Ijaw,Other,Corporate,Mid-level,4.33,0,4.7,0
Michelle Banks,Male,Fulani,Babcock,Family,Mid-level,3.3,2,4.0,0
Megan Price,Female,Yoruba,UNIBEN,Family,Mid-level,4.39,1,7.9,1
Amber Walker,Female,Hausa,UNIBEN,Corporate,Mid-level,3.45,0,4.6,0
Emily Jordan,Female,Yoruba,Babcock,Tax,Junior,5.0,1,4.8,0
Crystal Long,Female,Yoruba,Babcock,Intellectual Property,Junior,3.87,3,9.8,1
Steven Scott,Male,Ijaw,Other,Family,Senior,4.21,1,9.4,1
Leslie Velasquez,Male,Igbo,Other,Criminal,Junior,4.03,2,5.8,0
Jennifer Howard,Male,Ijaw,LASU,Corporate,Junior,3.89,2,1.6,0
Christine Diaz,Male,Ijaw,ABU Zaria,Intellectual Property,Senior,3.74,1,3.0,0
Michael Floyd,Male,Tiv,UNILAG,Human Rights,Mid-level,4.2,3,5.4,0
Derek Reyes,Male,Ijaw,LASU,Tax,Junior,4.37,1,8.5,1
Dana Campbell,Male,Yoruba,Other,Corporate,Junior,3.3,0,3.7,0
Haley Smith,Female,Yoruba,UI,Corporate,Senior,3.53,0,1.6,0
Anne Williams,Female,Tiv,UNILAG,Tax,Junior,4.0,0,2.0,0
Elaine Savage,Male,Other,Covenant,Intellectual Property,Mid-level,3.26,1,1.6,0
Ronald White,Male,Fulani,Other,Corporate,Junior,3.35,0,6.3,0
John Benton,Male,Hausa,ABU Zaria,Intellectual Property,Junior,3.79,1,9.1,1
James Combs,Male,Hausa,LASU,Criminal,Senior,3.63,2,3.0,0
John Green,Male,Tiv,LASU,Family,Senior,3.83,2,9.7,1
Jennifer Howard,Male,Igbo,UNIBEN,Corporate,Junior,4.48,2,4.0,0
Ashley Cohen,Male,Fulani,UNIBEN,Corporate,Junior,3.24,3,1.4,0
Matthew Smith,Female,Igbo,UNILAG,Tax,Junior,4.6,2,4.7,0
Diane Rodriguez,Female,Hausa,UNN,Human Rights,Junior,4.02,2,2.4,0
Patricia Thomas,Female,Fulani,Covenant,Intellectual Property,Mid-level,3.02,0,2.5,0
Noah Gray,Male,Tiv,Covenant,Criminal,Mid-level,3.77,0,4.2,0
Jillian Collier,Female,Tiv,Other,Family,Junior,5.01,0,5.2,0
Phillip Wright,Female,Tiv,UNIBEN,Family,Mid-level,4.42,1,2.9,0
Debra Myers,Male,Tiv,ABU Zaria,Family,Junior,3.22,0,5.6,0
Lisa Butler,Female,Fulani,Covenant,Intellectual Property,Junior,4.73,1,4.7,0
Kyle Hoffman,Male,Fulani,UI,Human Rights,Senior,3.48,1,6.1,0
Virginia Fisher,Male,Fulani,Other,Family,Senior,3.52,1,5.3,0
Maria Pope,Male,Yoruba,Babcock,Criminal,Senior,3.69,3,3.8,0
Reginald Sloan,Female,Ijaw,UNILAG,Corporate,Mid-level,3.47,0,5.5,0
Robert Wilkinson,Female,Hausa,Other,Family,Junior,3.76,0,9.5,1
Janice Wright,Male,Igbo,UI,Family,Mid-level,3.46,3,9.2,1
Terry Mcgrath,Male,Fulani,UNIBEN,Human Rights,Junior,4.47,0,4.3,0
Jeffrey Brown,Female,Other,UNN,Intellectual Property,Senior,3.98,1,4.3,0
Tabitha Rice,Male,Other,UNN,Corporate,Junior,3.93,0,5.2,0
Alexander Dunlap,Female,Ijaw,UI,Criminal,Junior,3.87,0,7.4,0
Whitney Cruz,Male,Other,UI,Tax,Junior,3.23,1,3.0,0
Ronald Young,Female,Yoruba,Covenant,Human Rights,Junior,4.04,1,8.1,1
Patty Lopez,Male,Hausa,UNILAG,Corporate,Mid-level,4.62,1,2.6,0
Terrance Grant,Female,Yoruba,UNN,Intellectual Property,Senior,4.42,0,3.3,0
Seth Thomas,Female,Other,UI,Corporate,Senior,3.65,1,9.7,1
Nicole Smith,Male,Yoruba,Other,Intellectual Property,Junior,4.28,0,9.9,1
Jonathan Alexander,Female,Fulani,Covenant,Family,Mid-level,3.87,0,5.0,0
Eric Johnson,Female,Tiv,UNN,Corporate,Junior,4.77,1,3.6,0
Martha Johnston,Female,Hausa,UNN,Family,Mid-level,4.22,1,3.9,0
Jesse Gonzales,Female,Fulani,UNIBEN,Intellectual Property,Senior,4.07,3,3.0,0
Jesus Weber,Female,Ijaw,Babcock,Criminal,Junior,4.27,1,6.5,0
John Price,Female,Tiv,ABU Zaria,Intellectual Property,Senior,4.54,0,3.3,0
Megan Fisher,Male,Yoruba,UNN,Intellectual Property,Senior,3.41,0,7.9,0
Joseph Roman,Female,Fulani,UNIBEN,Criminal,Mid-level,4.54,0,7.3,0
Justin Roman,Female,Yoruba,UNN,Criminal,Senior,3.82,0,6.6,0
Melanie Kirby,Male,Hausa,UNIBEN,Tax,Junior,5.11,1,3.3,0
Summer Shah,Female,Tiv,Other,Family,Mid-level,4.2,1,7.7,0
Brooke Mcintyre,Male,Yoruba,LASU,Corporate,Mid-level,4.06,0,1.8,0
Kristina Boyer,Female,Ijaw,Covenant,Human Rights,Senior,4.51,0,1.6,0
Marissa Wagner,Female,Ijaw,UNILAG,Family,Mid-level,4.04,0,2.0,0
Jeff Roberts,Male,Hausa,UNN,Criminal,Senior,4.36,0,2.8,0
Judy Page,Female,Other,Other,Family,Senior,4.2,0,9.5,1
William Stevenson,Female,Fulani,Babcock,Tax,Senior,4.22,2,1.5,0
Nicole Webb,Male,Tiv,UNN,Human Rights,Senior,4.26,0,1.3,0
Kristen Juarez,Male,Fulani,Babcock,Tax,Senior,4.42,1,4.2,0
Kevin Baxter,Male,Tiv,UNN,Corporate,Senior,3.63,1,2.6,0
Taylor Butler,Female,Tiv,Covenant,Family,Senior,4.39,1,4.0,0
Michael Lawson,Male,Tiv,UNILAG,Family,Senior,3.81,0,7.3,0
Edward Garcia,Female,Igbo,Other,Intellectual Property,Senior,4.68,1,1.5,0
Michael Alexander,Female,Fulani,Other,Criminal,Junior,3.69,1,6.6,0
Barry Allison,Female,Hausa,UNILAG,Corporate,Senior,5.04,0,2.3,0
Ann Garcia,Female,Tiv,Covenant,Family,Junior,4.49,1,2.6,0
Keith Schwartz,Male,Ijaw,UNILAG,Family,Junior,3.77,1,4.9,0
Robert Jacobs,Female,Fulani,Covenant,Intellectual Property,Junior,4.49,0,2.5,0
Michael Simpson,Female,Fulani,LASU,Criminal,Junior,2.95,0,7.2,0
Eric Parker,Male,Tiv,LASU,Intellectual Property,Mid-level,3.67,1,8.8,1
Danny Ali,Female,Fulani,ABU Zaria,Corporate,Senior,4.29,2,4.1,0
Laura Reeves,Male,Tiv,UNILAG,Corporate,Senior,3.97,2,6.5,0
Frances Randolph,Female,Tiv,UNIBEN,Criminal,Junior,4.69,3,9.9,1
Chelsea Calderon PhD,Male,Fulani,ABU Zaria,Family,Senior,4.73,1,8.1,1
Nathaniel Soto,Male,Yoruba,UNN,Intellectual Property,Senior,3.74,4,2.3,0
Doris Wyatt,Male,Yoruba,UNIBEN,Intellectual Property,Senior,4.26,0,5.3,0
Erik Allen,Male,Other,LASU,Corporate,Junior,3.98,1,6.8,0
Amanda Dennis,Female,Igbo,ABU Zaria,Intellectual Property,Mid-level,4.1,1,7.7,0
Deborah Young,Female,Tiv,ABU Zaria,Corporate,Junior,4.77,0,8.4,1
Heather Landry,Female,Ijaw,UNN,Tax,Mid-level,3.42,0,4.9,0
Wendy Yang,Male,Fulani,UNILAG,Family,Mid-level,4.03,2,1.7,0
Timothy Simpson,Female,Hausa,Other,Corporate,Senior,4.58,0,4.0,0
Carly Harper,Female,Ijaw,Other,Intellectual Property,Junior,4.32,0,3.2,0
Brenda Smith,Female,Yoruba,Other,Tax,Senior,4.74,0,6.9,0
Brittany Jones,Male,Ijaw,LASU,Tax,Junior,4.48,0,3.1,0
Tyler Cole,Male,Other,UNN,Corporate,Senior,4.01,1,1.3,0
Jade Thomas,Female,Tiv,UNN,Family,Senior,4.36,1,6.4,0
Frances Buchanan,Female,Hausa,UNILAG,Family,Mid-level,4.58,1,6.7,0
Andrew Ortiz,Female,Ijaw,Babcock,Tax,Junior,4.5,1,6.3,0
Brooke Fox,Female,Fulani,LASU,Family,Mid-level,3.2,1,9.6,1
